Abbreviation,Definition
abund,abundance
ad,adult
aq,aquatic
avg,mean
C,Deg. C.
can,canopy
cmps,cm/sec
comp,composition
cov,cover or covered
curr,current
d,depth 
decid,decidous 
dev,development
dis,discharge
dist,distance
DO,Dissolved Oxygen
DS,Dissolved Solids
e,embryo
env,environment
gs,ground surface
h,height
hab,habitat
herb,herbaceous
juv,juvenile
kgpha,kg/ha
l,length
lac,lacustrine
larv,larvae/larval
lbspacre,lbs/acre
litt,littoral
lt,<
ltoe,?
m,meters
max,Max
max,maximum
mgpl,mg/l
mgpreypm3,mg-prey/m^3
min,Min
mpkm,m/km
mth,monthly
num,number
pct,%
perm,permanent
pl,pool(s)
pop,population 
rfl,riffle(s)
sa,surface area
sal,salinity 
spwn,spawning
sqm,m^2
stand,standing
strm,stream
subm,submerged
subs,substrate
suit,suitable 
turb,turbidity
veg,vegetative or vegatation
vel,velocity
w,width
wtr,water
